                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.40148,                0.37973,                0.55613,                0.91026,                 0.8785,                0.84132,                0.91365,                0.87942,                 0.8785,                0.84132,                 0.9132,                0.89151,                0.25593,                0.26672,                0.42573,                0.66187,               0.007525,               0.007525,               0.007525
                     78,                0.40692,                0.38097,                0.56484,                0.91345,                0.88724,                0.85873,                0.92917,                 0.8958,                0.88724,                0.85873,                0.92845,                0.90756,                  0.252,                0.26272,                0.40969,                0.65938,               0.007492,               0.007492,               0.007492
                     79,                0.41018,                0.39179,                0.55214,                0.90939,                0.90577,                0.84891,                0.93206,                 0.8971,                0.90577,                0.84891,                0.93173,                0.91023,                0.24713,                0.26086,                0.40561,                0.65538,               0.007459,               0.007459,               0.007459
                     80,                0.40738,                0.40007,                0.54792,                0.90702,                0.88313,                0.85767,                0.92353,                0.89022,                0.88313,                0.85767,                0.92317,                0.90144,                0.25132,                 0.2605,                0.41684,                0.65812,               0.007426,               0.007426,               0.007426
                     81,                0.39947,                0.37785,                0.55159,                0.90643,                0.85709,                0.87048,                0.92898,                0.89617,                0.85709,                0.87048,                 0.9287,                0.90863,                0.25155,                0.25336,                 0.4197,                0.65925,               0.007393,               0.007393,               0.007393
                     82,                0.40477,                0.39224,                0.55202,                0.90773,                0.86489,                0.85001,                0.91868,                0.88754,                0.86489,                0.85001,                0.91823,                0.89806,                0.24908,                0.26533,                0.43629,                0.65691,                0.00736,                0.00736,                0.00736
                     83,                0.40309,                0.38244,                0.54625,                0.90685,                0.89536,                0.84278,                0.92604,                0.89138,                0.89569,                0.84204,                0.92564,                0.90431,                0.25467,                0.26297,                 0.4172,                0.66352,               0.007327,               0.007327,               0.007327
                     84,                0.39999,                0.38557,                0.54056,                0.90758,                0.85131,                0.87279,                0.92461,                0.89283,                0.85131,                0.87279,                0.92358,                0.90213,                0.24992,                0.26033,                0.41471,                0.65753,               0.007294,               0.007294,               0.007294
                     85,                0.40163,                 0.3911,                0.53701,                0.90706,                 0.9048,                0.85132,                0.92651,                0.89324,                 0.9048,                0.85132,                0.92582,                0.90383,                0.24944,                0.25935,                0.40249,                  0.657,               0.007261,               0.007261,               0.007261
                     86,                0.40412,                0.39709,                0.54028,                0.90727,                0.87536,                  0.865,                0.92335,                0.88908,                0.87536,                  0.865,                0.92264,                0.90147,                0.24842,                0.26252,                0.41915,                0.65629,               0.007228,               0.007228,               0.007228
                     87,                 0.3952,                0.37565,                0.52765,                 0.9025,                0.92483,                0.83168,                0.92843,                0.89509,                0.92483,                0.83168,                0.92805,                 0.9076,                0.25004,                0.26207,                0.40802,                0.65723,               0.007195,               0.007195,               0.007195
                     88,                0.40385,                0.38147,                0.53579,                0.91001,                 0.8664,                0.88133,                 0.9266,                0.89299,                 0.8664,                0.88133,                0.92622,                0.90537,                0.25177,                0.26206,                0.40275,                0.65755,               0.007162,               0.007162,               0.007162
                     89,                0.39001,                0.36872,                0.51909,                0.90326,                0.88974,                 0.8554,                0.93247,                0.89947,                0.88974,                 0.8554,                0.93185,                0.91111,                0.24871,                0.27239,                0.38834,                0.65905,               0.007129,               0.007129,               0.007129
                     90,                  0.397,                0.38915,                0.52043,                0.90701,                0.91061,                 0.8447,                0.92892,                0.89504,                0.91061,                 0.8447,                0.92854,                0.90884,                0.24635,                0.26003,                 0.4017,                0.65835,               0.007096,               0.007096,               0.007096
