                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.19475,                0.20147,                 1.0122,                 1.1348,                0.89766,                0.87034,                0.93964,                0.89828,                0.89833,                0.86515,                0.93821,                0.91629,                0.11753,                0.12593,                0.65903,                0.82309,              0.0079225,              0.0079225,              0.0079225
                     66,                0.19316,                 0.2001,                 1.0109,                 1.1376,                0.87811,                 0.8906,                0.94003,                0.89888,                0.87838,                0.88871,                0.93817,                 0.9161,                0.11668,                 0.1254,                0.64891,                0.82169,              0.0078895,              0.0078895,              0.0078895
                     67,                0.19414,                0.20592,                 1.0027,                 1.1367,                0.90597,                0.86294,                0.93984,                0.89665,                 0.9049,                0.86203,                 0.9377,                0.91567,                0.11964,                0.12397,                0.64632,                0.83188,              0.0078565,              0.0078565,              0.0078565
                     68,                0.19306,                0.20475,                0.98575,                  1.133,                0.89803,                0.87044,                0.93816,                 0.8954,                0.90029,                0.86602,                0.93768,                0.91363,                0.11718,                0.12391,                0.66542,                0.81623,              0.0078236,              0.0078236,              0.0078236
                     69,                0.19507,                0.20509,                 1.0035,                 1.1381,                0.91913,                0.85435,                0.93846,                 0.8945,                0.91913,                0.85435,                0.93729,                0.91496,                0.11852,                0.12528,                0.67847,                0.82238,              0.0077906,              0.0077906,              0.0077906
                     70,                0.19301,                0.20219,                0.99356,                  1.135,                0.89953,                0.87478,                0.94374,                0.90205,                0.89953,                0.87478,                0.94162,                0.92168,                0.11768,                0.12105,                0.66378,                0.82014,              0.0077576,              0.0077576,              0.0077576
                     71,                0.19116,                0.20021,                0.98698,                 1.1295,                0.91832,                0.86347,                 0.9405,                0.90103,                 0.9171,                0.86272,                0.93935,                 0.9179,                0.11669,                0.12275,                0.64078,                0.82154,              0.0077246,              0.0077246,              0.0077246
                     72,                0.19317,                0.20033,                0.96601,                 1.1316,                0.92171,                0.88246,                0.94543,                0.90795,                0.92069,                0.87842,                0.94261,                0.92594,                0.11097,                0.12004,                 0.6343,                0.81472,              0.0076917,              0.0076917,              0.0076917
                     73,                0.19148,                0.19877,                0.97734,                  1.133,                0.86941,                0.90893,                0.93819,                0.89768,                0.90595,                0.87459,                0.93686,                0.91627,                0.11983,                0.12303,                0.64969,                0.83614,              0.0076587,              0.0076587,              0.0076587
                     74,                0.19242,                 0.2024,                0.97383,                 1.1335,                0.92252,                0.86106,                0.94129,                0.89807,                0.92252,                0.86106,                0.93946,                 0.9194,                 0.1178,                0.12155,                0.65466,                0.82739,              0.0076257,              0.0076257,              0.0076257
                     75,                0.19211,                0.19828,                0.96189,                 1.1343,                0.90539,                0.88219,                0.94091,                0.90212,                0.90427,                0.88128,                0.93925,                0.92109,                0.11363,                0.12085,                0.63319,                0.81521,              0.0075927,              0.0075927,              0.0075927
                     76,                0.18894,                0.19883,                0.94706,                 1.1305,                0.91383,                0.87748,                0.94388,                 0.9037,                0.91291,                0.87641,                 0.9422,                0.92245,                0.11984,                0.12024,                0.65506,                0.82422,              0.0075598,              0.0075598,              0.0075598
                     77,                0.19074,                0.20069,                0.95519,                 1.1323,                0.91454,                0.88561,                0.94605,                0.90546,                0.91383,                0.88399,                0.94446,                0.92398,                0.11959,                0.12177,                0.64224,                0.82399,              0.0075268,              0.0075268,              0.0075268
                     78,                0.19323,                0.20502,                0.98429,                 1.1326,                 0.9314,                0.88229,                0.94812,                0.90562,                 0.9314,                0.88229,                0.94722,                0.92705,                0.11638,                0.11977,                0.61939,                0.81786,              0.0074938,              0.0074938,              0.0074938
                     79,                0.19249,                0.19869,                0.96183,                 1.1347,                 0.9115,                0.89329,                0.94324,                0.90286,                 0.9115,                0.89329,                0.94128,                0.92185,                0.11385,                0.11838,                0.61996,                0.81783,              0.0074608,              0.0074608,              0.0074608
                     80,                0.19308,                0.20244,                0.94204,                 1.1361,                0.91158,                0.88899,                 0.9444,                0.90796,                0.91158,                0.88899,                0.94363,                 0.9241,                0.11238,                0.11989,                0.62654,                0.81151,              0.0074278,              0.0074278,              0.0074278
                     81,                0.19121,                0.20139,                0.93092,                 1.1311,                0.89295,                0.88009,                0.93897,                 0.9045,                0.89408,                0.88126,                0.93921,                0.91928,                0.11148,                0.11956,                0.64157,                0.81157,              0.0073949,              0.0073949,              0.0073949
                     82,                0.19139,                0.19894,                0.94911,                 1.1313,                0.90931,                0.87541,                0.94495,                0.90915,                0.90931,                0.87541,                0.94392,                0.92467,                0.11251,                0.11992,                0.62248,                 0.8113,              0.0073619,              0.0073619,              0.0073619
                     83,                0.18898,                0.19618,                0.92736,                 1.1284,                0.91754,                0.88361,                0.94494,                0.90764,                0.91754,                0.88361,                0.94417,                0.92486,                0.11202,                0.11785,                0.61449,                0.80826,              0.0073289,              0.0073289,              0.0073289
                     84,                0.19172,                0.20227,                0.93298,                 1.1325,                0.91148,                0.89299,                0.94596,                0.90686,                0.91044,                0.89209,                0.94498,                0.92437,                0.11487,                0.12003,                0.61857,                0.81664,              0.0072959,              0.0072959,              0.0072959
                     85,                  0.192,                0.20301,                0.93702,                 1.1333,                0.90967,                0.89603,                0.94938,                0.91285,                0.90967,                0.89603,                0.94814,                 0.9294,                  0.114,                0.11833,                  0.608,                0.81201,               0.007263,               0.007263,               0.007263
                     86,                0.19153,                0.19764,                0.91433,                 1.1317,                 0.8993,                0.92103,                0.95185,                 0.9196,                0.89809,                0.91837,                0.94995,                0.93228,                0.10758,                0.11842,                0.58282,                0.80082,                0.00723,                0.00723,                0.00723
                     87,                0.18974,                0.19761,                0.91664,                 1.1317,                0.89826,                0.90311,                 0.9466,                0.91109,                0.89826,                0.90311,                0.94593,                0.92533,                0.11018,                0.11829,                0.60938,                0.80841,               0.007197,               0.007197,               0.007197
                     88,                0.19186,                0.20367,                0.93063,                 1.1346,                0.93044,                0.86933,                0.94825,                0.90883,                0.93044,                0.86933,                0.94739,                0.92538,                0.11491,                0.11981,                0.61269,                0.81898,               0.007164,               0.007164,               0.007164
                     89,                0.18664,                0.20041,                0.90781,                 1.1279,                0.92661,                0.89646,                0.94854,                0.90954,                0.92661,                0.89646,                 0.9477,                0.92628,                0.11404,                0.12121,                 0.6063,                0.81596,              0.0071311,              0.0071311,              0.0071311
                     90,                0.19125,                0.19812,                0.92232,                 1.1326,                0.91517,                0.91393,                0.95154,                0.91634,                0.91517,                0.91393,                 0.9511,                0.93027,                0.10794,                0.12003,                0.58721,                0.80476,              0.0070981,              0.0070981,              0.0070981
                     91,                0.18748,                0.20083,                0.90638,                 1.1272,                0.91225,                0.90608,                 0.9503,                0.91344,                0.91225,                0.90608,                 0.9489,                0.92936,                0.11359,                0.11888,                 0.5887,                0.81605,              0.0070651,              0.0070651,              0.0070651
                     92,                0.19011,                0.20149,                0.91411,                 1.1279,                 0.9285,                0.88438,                0.94988,                 0.9142,                 0.9285,                0.88438,                0.94923,                 0.9303,                0.11384,                0.12048,                0.59636,                0.81638,              0.0070321,              0.0070321,              0.0070321
                     93,                0.18811,                0.19933,                0.89336,                 1.1261,                 0.9294,                0.89744,                 0.9505,                0.91312,                 0.9294,                0.89744,                0.94907,                0.93023,                0.11129,                0.11944,                0.59089,                0.81466,              0.0069992,              0.0069992,              0.0069992
                     94,                0.18941,                0.19733,                 0.8986,                 1.1264,                0.92952,                0.88031,                0.94826,                0.91034,                0.92952,                0.88031,                0.94762,                0.92585,                0.11034,                0.11889,                0.58983,                0.81327,              0.0069662,              0.0069662,              0.0069662
                     95,                0.18856,                0.20175,                0.89672,                 1.1291,                 0.9111,                0.89765,                0.95224,                0.91101,                 0.9111,                0.89765,                0.95111,                0.92876,                 0.1114,                0.11844,                0.56779,                0.81758,              0.0069332,              0.0069332,              0.0069332
                     96,                0.18673,                0.19579,                0.88367,                 1.1244,                0.92241,                0.88855,                 0.9511,                0.91267,                0.92241,                0.88855,                0.94992,                0.92748,                0.11226,                0.11905,                0.58146,                0.81774,              0.0069002,              0.0069002,              0.0069002
                     97,                0.18952,                0.19779,                0.91999,                 1.1332,                0.91426,                0.89551,                0.95156,                0.91151,                0.91426,                0.89551,                0.95067,                0.92766,                0.11182,                0.11923,                0.59339,                0.81752,              0.0068672,              0.0068672,              0.0068672
